BPL,ID HK,NQR,P/W,LN,Lernort,ID LK,Beschreibung LK,ID LFE,Handlungsnotwendiges Wissen,Abfolge,Lektionen,ID LZ,Beschreibung LZ,Taxonomie LZ,Semester,Note zu HKB
ET,9999 a.03,NQR 4,P,LN 3,BFS,MEM 02 09,Sie dokumentieren und archivieren ihre Arbeit laufend und lückenlos mit situativ geeigneten Hilfsmitteln unter Einhaltung der Vorgaben.,LFB_MEM_PLG3,"MS-Office, Cybersecurity, Ablage-Organisation, Arbeitsplanung",2,1,LZ_9162,Sie dokumentieren einen vorhandenen Arbeitsablauf.,K3,2. Sem.,0
ET,9999 a.03,NQR 4,P,LN 3,BFS,MEM 02 09,Sie dokumentieren und archivieren ihre Arbeit laufend und lückenlos mit situativ geeigneten Hilfsmitteln unter Einhaltung der Vorgaben.,LFB_MEM_PLG3,,,,LZ_9163,Sie archivieren Dokumente unter Einhaltung der Vorgaben der Firma.,K3,2. Sem.,0
ET,9999 d.01,NQR 4,P,LN 2,BFS,MEM 02 08,Sie dokumentieren und archivieren ihre Arbeit nachvollziehbar mit festgelegten Hilfsmitteln nach Vorgaben.,LFB_MEM_PLG3,"MS-Office, Cybersecurity, Ablage-Organisation, Arbeitsplanung",3,1,LZ_9003,Sie interpretieren vorgegebene Arbeitsaufträge und Vorgaben.,K2,2. Sem.,1
ET,9999 d.01,NQR 4,P,LN 2,BFS,MEM 02 08,Sie dokumentieren und archivieren ihre Arbeit nachvollziehbar mit festgelegten Hilfsmitteln nach Vorgaben.,LFB_MEM_PLG3,,,,LZ_9157,Sie erkennen das Vorgehen und die Abfolge von Arbeitsschritten bei Aufträgen.,K2,2. Sem.,1
ET,9999 d.02,NQR 3,P,LN 4,BFS,MEM 04 04,Sie teilen Tätigkeiten in ihrem Arbeitsumfeld den verschiedenen Qualitätsstandards zu und begründen diese.,LFB_MEM_QB1,Qualitätsstandards,1,1,LZ_5105,Sie erläutern die Begriffe Qualität und Qualitätsmanagementsystem.,K2,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 4,BFS,MEM 04 04,Sie teilen Tätigkeiten in ihrem Arbeitsumfeld den verschiedenen Qualitätsstandards zu und begründen diese.,LFB_MEM_QB1,,,,LZ_9165,Sie zählen in ihrem Arbeitsumfeld die verschiedenen Qualitätsstandards auf.,K1,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 3,BFS,MEM 04 05,Sie setzen die wesentlichen in der MEM-Industrie vorkommenden Qualitätsnormen in konkreten Aufgabenstellungen um.,LFB_MEM_QB1,"Qualitätsmerkmale, Qualitätsnormen, Qualitätssicherung",2,5,LZ_674,Sie zählen Qualitätsmerkmale auf.,K1,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 3,BFS,MEM 04 05,Sie setzen die wesentlichen in der MEM-Industrie vorkommenden Qualitätsnormen in konkreten Aufgabenstellungen um.,LFB_MEM_QB1,,,,LZ_677,"Sie zeigen die Grundzüge der Qualitätssicherung auf, beispielsweise die Fehleranalyse.",K3,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 3,BFS,MEM 04 05,Sie setzen die wesentlichen in der MEM-Industrie vorkommenden Qualitätsnormen in konkreten Aufgabenstellungen um.,LFB_MEM_QB1,,,,LZ_9166,Sie ordnen Tätigkeiten in ihrem Arbeitsumfeld den verschiedenen Qualitätsstandards zu und begründen dies.,K3,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 3,BFS,MEM 04 05,Sie setzen die wesentlichen in der MEM-Industrie vorkommenden Qualitätsnormen in konkreten Aufgabenstellungen um.,LFB_MEM_QB1,,,,LZ_9167,Sie definieren die notwendigen Qualitätsnormen aus einer vorgegebenen Aufgabenstellung.,K2,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 2,BFS,MEM 04 06,Sie unterscheiden verschiedene Formen des Änderungswesens und beurteilen deren Vor- und Nachteile.,LFB_MEM_QB1,"Betriebsabläufe und -Richtlinien, Änderungsprozess, Qualitätssicherung",3,2,LZ_9168,Sie unterscheiden die Vorteile von verschiedenen Formen im Änderungswesen ihrer Firma.,K2,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 3,BFS,MEM 04 07,Sie wählen dem Arbeitsprozess entsprechend geeignete Prüfmittel und Prüfverfahren aus.,LFB_MEM_QB1,"Mess- und Prüfmittel, Prüfverfahren, Kalibrierung",4,2,LZ_8221,Sie benennen und unterscheiden Lehren.,K2,1. Sem.,1
ET,9999 d.02,NQR 3,P,LN 3,BFS,MEM 04 07,Sie wählen dem Arbeitsprozess entsprechend geeignete Prüfmittel und Prüfverfahren aus.,LFB_MEM_QB1,,,,LZ_7837,Sie benennen und unterscheiden Messmittel.,K2,1. Sem.,1
